,AAPL,BTC-USD,CL=F,ETH-USD,GC=F,JPM,MSFT,QQQ,TSLA,^GSPC
2019-08-15 00:00:00+00:00,48.803123474121094,10311.5458984375,54.470001220703125,188.50205993652344,1519.5999755859375,90.32051086425781,127.68439483642578,176.587890625,14.37600040435791,2847.60009765625
2019-08-16 00:00:00+00:00,49.95462417602539,10374.3388671875,54.869998931884766,185.44007873535156,1512.5,92.48409271240234,130.02456665039062,179.42222595214844,14.662667274475098,2888.679931640625
2019-08-17 00:00:00+00:00,,10231.744140625,,185.68768310546875,,,,,,
2019-08-18 00:00:00+00:00,,10345.810546875,,194.4935302734375,,,,,,
2019-08-19 00:00:00+00:00,50.885982513427734,10916.0537109375,56.209999084472656,203.09193420410156,1500.4000244140625,93.31688690185547,132.20230102539062,182.2758026123047,15.121999740600586,2923.64990234375
2019-08-20 00:00:00+00:00,50.88840866088867,10763.232421875,56.34000015258789,196.56541442871094,1504.5999755859375,92.13207244873047,131.10385131835938,180.86351013183594,15.057332992553711,2900.510009765625
2019-08-21 00:00:00+00:00,51.4399528503418,10138.0498046875,55.68000030517578,186.89163208007812,1504.5999755859375,92.38966369628906,132.5652618408203,182.46932983398438,14.722000122070312,2924.429931640625
2019-08-22 00:00:00+00:00,51.39641571044922,10131.0556640625,55.349998474121094,191.33291625976562,1497.300048828125,93.3426513671875,131.6005401611328,181.8792266845703,14.8100004196167,2922.949951171875
2019-08-23 00:00:00+00:00,49.02083969116211,10407.96484375,54.16999816894531,194.70620727539062,1526.5999755859375,91.02452850341797,127.40742492675781,176.12355041503906,14.09333324432373,2847.110107421875
2019-08-24 00:00:00+00:00,,10159.9609375,,191.28956604003906,,,,,,
2019-08-25 00:00:00+00:00,,10138.517578125,,186.84239196777344,,,,,,
2019-08-26 00:00:00+00:00,49.95220184326172,10370.8203125,53.63999938964844,188.92938232421875,1526.300048828125,91.75430297851562,129.3750457763672,178.7837677001953,14.333333015441895,2878.3798828125
2019-08-27 00:00:00+00:00,49.388553619384766,10185.5,54.93000030517578,187.51666259765625,1541.0,90.78414154052734,129.6520233154297,178.406494140625,14.272000312805176,2869.159912109375
2019-08-28 00:00:00+00:00,49.719970703125,9754.4228515625,55.779998779296875,173.8899688720703,1537.800048828125,91.69422912597656,129.4801025390625,179.04490661621094,14.37266731262207,2887.93994140625
2019-08-29 00:00:00+00:00,50.561824798583984,9510.2001953125,56.709999084472656,169.51673889160156,1526.5,93.77194213867188,131.92529296875,181.78250122070312,14.780667304992676,2924.580078125
2019-08-30 00:00:00+00:00,50.49650955200195,9598.173828125,55.099998474121094,168.83486938476562,1519.0999755859375,94.3214111328125,131.6769561767578,181.34716796875,15.040666580200195,2926.4599609375
2019-08-31 00:00:00+00:00,,9630.6640625,,172.46978759765625,,,,,,
2019-09-01 00:00:00+00:00,,9757.970703125,,171.62942504882812,,,,,,
2019-09-02 00:00:00+00:00,,10346.7607421875,,178.34735107421875,,,,,,
2019-09-03 00:00:00+00:00,49.76109313964844,10623.5400390625,53.939998626708984,179.49932861328125,1545.9000244140625,93.20526885986328,129.93858337402344,179.58663940429688,15.000666618347168,2906.27001953125
2019-09-04 00:00:00+00:00,50.6053581237793,10594.4931640625,56.2599983215332,175.99288940429688,1550.300048828125,94.33000946044922,131.45726013183594,182.17909240722656,14.711999893188477,2937.780029296875
2019-09-05 00:00:00+00:00,51.59477615356445,10575.533203125,56.29999923706055,174.21713256835938,1515.4000244140625,96.47639465332031,133.76873779296875,185.51644897460938,15.305333137512207,2976.0
